group,cluster,model,library,spark-executors,elapsed-time [s]
tbd-2022z-3,dataproc,GBT,h2o,1,82.70627943
tbd-2022z-3,dataproc,GBT,h2o,1,83.8161954919999
tbd-2022z-3,dataproc,GBT,h2o,1,84.28676576499993
tbd-2022z-3,dataproc,GBT,h2o,2,45.13191951600004
tbd-2022z-3,dataproc,GBT,h2o,2,45.90476199699992
tbd-2022z-3,dataproc,GBT,h2o,2,46.58259544899988
tbd-2022z-3,dataproc,GBT,h2o,6,20.56345447700005
tbd-2022z-3,dataproc,GBT,h2o,6,21.002560051000046
tbd-2022z-3,dataproc,GBT,h2o,6,21.58023087999993
tbd-2022z-3,dataproc,GBT,h2o,8,21.292444295999985
tbd-2022z-3,dataproc,GBT,h2o,8,21.56824570899994
tbd-2022z-3,dataproc,GBT,h2o,8,21.629374610000013
tbd-2022z-3,dataproc,GBT,spark-ml,1,103.77255995099995
tbd-2022z-3,dataproc,GBT,spark-ml,1,103.99905894299991
tbd-2022z-3,dataproc,GBT,spark-ml,1,104.23739194999985
tbd-2022z-3,dataproc,GBT,spark-ml,2,56.05018885100003
tbd-2022z-3,dataproc,GBT,spark-ml,2,57.01754049800002
tbd-2022z-3,dataproc,GBT,spark-ml,2,57.22973814300008
tbd-2022z-3,dataproc,GBT,spark-ml,6,27.997287211999947
tbd-2022z-3,dataproc,GBT,spark-ml,6,30.515909051999984
tbd-2022z-3,dataproc,GBT,spark-ml,6,31.11922610299996
tbd-2022z-3,dataproc,GBT,spark-ml,8,36.26493748799999
tbd-2022z-3,dataproc,GBT,spark-ml,8,36.587101589999975
tbd-2022z-3,dataproc,GBT,spark-ml,8,38.85788574399999
tbd-2022z-3,dataproc,GBT,synapse-ml,1,82.20050406700011
tbd-2022z-3,dataproc,GBT,synapse-ml,1,82.40110438500005
tbd-2022z-3,dataproc,GBT,synapse-ml,1,91.7550194009998
tbd-2022z-3,dataproc,GBT,synapse-ml,2,44.01788706100001
tbd-2022z-3,dataproc,GBT,synapse-ml,2,46.11686068800009
tbd-2022z-3,dataproc,GBT,synapse-ml,2,54.24034094800004
tbd-2022z-3,dataproc,GBT,synapse-ml,6,26.499712423999995
tbd-2022z-3,dataproc,GBT,synapse-ml,6,32.05588094799998
tbd-2022z-3,dataproc,GBT,synapse-ml,6,33.903416678999974
tbd-2022z-3,dataproc,GBT,synapse-ml,8,89.19834521400003
tbd-2022z-3,dataproc,GBT,synapse-ml,8,89.78606676499999
tbd-2022z-3,dataproc,GBT,synapse-ml,8,98.381691047
tbd-2022z-3,dataproc,LR,h2o,1,83.50992273500003
tbd-2022z-3,dataproc,LR,h2o,1,83.93409175099998
tbd-2022z-3,dataproc,LR,h2o,1,96.067281783
tbd-2022z-3,dataproc,LR,h2o,2,47.03061521500001
tbd-2022z-3,dataproc,LR,h2o,2,48.63453423399994
tbd-2022z-3,dataproc,LR,h2o,2,60.01269662600009
tbd-2022z-3,dataproc,LR,h2o,6,21.481632859
tbd-2022z-3,dataproc,LR,h2o,6,23.335359856999958
tbd-2022z-3,dataproc,LR,h2o,6,37.27954631800003
tbd-2022z-3,dataproc,LR,h2o,8,24.078638188000014
tbd-2022z-3,dataproc,LR,h2o,8,24.45301697399998
tbd-2022z-3,dataproc,LR,h2o,8,49.961475708999956
tbd-2022z-3,dataproc,LR,spark-ml,1,103.24232138799994
tbd-2022z-3,dataproc,LR,spark-ml,1,106.40927071700003
tbd-2022z-3,dataproc,LR,spark-ml,1,120.35528639200004
tbd-2022z-3,dataproc,LR,spark-ml,2,57.86462600100003
tbd-2022z-3,dataproc,LR,spark-ml,2,58.491502949999926
tbd-2022z-3,dataproc,LR,spark-ml,2,77.077766446
tbd-2022z-3,dataproc,LR,spark-ml,6,32.69532561300002
tbd-2022z-3,dataproc,LR,spark-ml,6,34.89277100000004
tbd-2022z-3,dataproc,LR,spark-ml,6,49.21284585000001
tbd-2022z-3,dataproc,LR,spark-ml,8,38.06686585299997
tbd-2022z-3,dataproc,LR,spark-ml,8,40.096206754000036
tbd-2022z-3,dataproc,LR,spark-ml,8,74.94465752000002
tbd-2022z-3,k8s,GBT,h2o,1,51.04005019199758
tbd-2022z-3,k8s,GBT,h2o,1,54.6529049569981
tbd-2022z-3,k8s,GBT,h2o,1,54.98057634900033
tbd-2022z-3,k8s,GBT,h2o,2,41.375558593997994
tbd-2022z-3,k8s,GBT,h2o,2,43.687554554999224
tbd-2022z-3,k8s,GBT,h2o,2,44.079418790999625
tbd-2022z-3,k8s,GBT,h2o,6,19.737048977000086
tbd-2022z-3,k8s,GBT,h2o,6,19.964217400000052
tbd-2022z-3,k8s,GBT,h2o,6,20.507574637002108
tbd-2022z-3,k8s,GBT,h2o,8,19.050147379999544
